序号,卫星NORAD,卫星intlid,卫星名称,发射时间,开始时间,结束时间,持续时长,阶段标定,轨道高度
,46550,20070U,,,20201026,20201031,5,C,382.282594
,46552,20070W,,,20201025,20201208,44,C,386.039133
,46553,20070X,,,20201025,20210113,80,C,382.973523
,46554,20070Y,,,20201025,20201208,44,C,388.533413
,46555,20070Z,,,20201025,20210207,105,C,383.762485
,46555,20070Z,,,20210822,20210901,10,G,538.868664
,46555,20070Z,,,20211005,20211101,27,G,354.563951
,46556,20070AA,,,20201025,20201101,7,C,382.498593
,46557,20070AB,,,20201025,20201208,44,C,383.761938
,46558,20070AC,,,20201025,20201122,28,C,382.313861
,46558,20070AC,,,20201126,20201208,12,C,384.890035
,46559,20070AD,,,20201025,20210113,80,C,385.815131
,46560,20070AE,,,20201025,20201121,27,C,382.432907
,46560,20070AE,,,20201127,20201207,10,C,382.517382
,46561,20070AF,,,20201025,20201207,43,C,383.144486
,46562,20070AG,,,20210111,20211220,343,C,550.015402
,46563,20070AH,,,20201026,20201218,53,C,383.520845
,46564,20070AJ,,,20201026,20201220,55,C,381.707876
,46565,20070AK,,,20201026,20201218,53,C,383.894475
,46566,20070AL,,,20201025,20201217,53,C,382.385895
,46567,20070AM,,,20201025,20201121,27,C,382.377949
,46567,20070AM,,,20201128,20201221,23,C,387.432558
,46568,20070AN,,,20201025,20201102,8,C,395.247526
,46569,20070AP,,,20201026,20201220,55,C,383.459496
,46570,20070AQ,,,20201115,20201214,29,C,384.165695
,46571,20070AR,,,20201026,20201123,28,C,382.112293
,46571,20070AR,,,20201128,20201220,22,C,384.048810
,46572,20070AS,,,20201025,20201102,8,C,394.694832
,46573,20070AT,,,20201025,20201208,44,C,387.630336
,46574,20070AU,,,20201025,20201122,28,C,382.308742
,46574,20070AU,,,20201128,20201208,10,C,385.329268
,46575,20070AV,,,20201026,20201126,31,C,382.288920
,46575,20070AV,,,20201130,20210206,68,C,383.016061
,46576,20070AW,,,20201026,20201123,28,C,382.436165
,46576,20070AW,,,20201129,20201208,9,C,384.277908
,46577,20070AX,,,20201025,20201123,29,C,382.603892
,46577,20070AX,,,20201129,20201207,8,C,382.651678
,46578,20070AY,,,20201025,20210114,81,C,383.692294
,46579,20070AZ,,,20201025,20201123,29,C,382.408195
,46579,20070AZ,,,20201127,20201208,11,C,386.638223
,46580,20070BA,,,20201025,20201126,32,C,387.557592
,46580,20070BA,,,20201128,20201208,10,C,382.955481
,46581,20070BB,,,20201026,20201126,31,C,381.907441
,46581,20070BB,,,20201128,20201218,20,C,383.209399
,46582,20070BC,,,20201026,20201218,53,C,383.678171
,46583,20070BD,,,20201025,20201102,8,C,396.084939
,46584,20070BE,,,20201026,20201123,28,C,382.548815
,46584,20070BE,,,20201126,20201220,24,C,384.410868
,46585,20070BF,,,20201026,20201123,28,C,382.526887
,46585,20070BF,,,20201125,20201218,23,C,383.616362
,46586,20070BG,,,20201026,20201123,28,C,382.578541
,46586,20070BG,,,20201125,20201218,23,C,383.755840
,46587,20070BH,,,20201230,20210323,83,C,391.723035
,46587,20070BH,,,20210401,20210420,19,C,431.578781
,46587,20070BH,,,20210607,20210616,9,G,349.388786
,46588,20070BJ,,,20201026,20201220,55,C,382.974682
,46590,20070BL,,,20201026,20201218,53,C,382.325624
,46591,20070BM,,,20201026,20201121,26,C,382.455819
,46591,20070BM,,,20201124,20201218,24,C,385.209193
,46672,20073C,,,20201106,20201223,47,C,383.889480
,46673,20073D,,,20201106,20201115,9,C,385.177063
,46675,20073F,,,20201106,20201222,46,C,382.229040
,46676,20073G,,,20201106,20210115,70,C,381.476128
,46676,20073G,,,20210118,20210203,16,C,398.417738
,46676,20073G,,,20210701,20210711,10,G,441.804700
,46677,20073H,,,20201106,20201222,46,C,382.209226
,46679,20073K,,,20201106,20210119,74,C,383.469892
,46679,20073K,,,20210122,20210204,13,C,400.365551
,46680,20073L,,,20201106,20201115,9,C,383.685664
,46681,20073M,,,20201106,20201115,9,C,389.655600
,46682,20073N,,,20201106,20201115,9,C,382.908740
,46682,20073N,,,20201106,20201113,7,C,382.494926
,46682,20073N,,,20210629,20210801,33,G,550.047154
,46683,20073P,,,20201106,20201113,7,C,382.500949
,46683,20073P,,,20210629,20210801,33,G,357.004996
,46684,20073Q,,,20201106,20201223,47,C,384.505991
,46685,20073R,,,20201106,20201114,8,C,384.529073
,46686,20073S,,,20201106,20201114,8,C,382.367104
,46687,20073T,,,20201106,20210116,71,C,386.274656
,46687,20073T,,,20210118,20210204,17,C,402.175823
,46687,20073T,,,20210205,20210215,10,C,404.011446
,46687,20073T,,,20201106,20201115,9,C,382.454609
,46687,20073T,,,20210919,20211029,40,G,550.048862
,46688,20073U,,,20201106,20201114,8,C,382.570693
,46688,20073U,,,20210919,20211028,39,G,442.533389
,46688,20073U,,,20211118,20220115,58,G,301.854368
,46689,20073V,,,20201106,20201114,8,C,382.541390
,46690,20073W,,,20201027,20201127,31,C,396.916253
,46691,20073X,,,20201105,20201111,6,C,382.446734
,46691,20073X,,,20201115,20201221,36,C,382.386520
,46692,20073Y,,,20201106,20201114,8,C,382.764842
,46693,20073Z,,,20201105,20201221,46,C,382.576633
,46694,20073AA,,,20201106,20210119,74,C,383.105150
,46694,20073AA,,,20210122,20210203,12,C,397.709300
,46695,20073AB,,,20201106,20201115,9,C,382.690133
,46695,20073AB,,,20210703,20210813,41,G,354.329714
,46696,20073AC,,,20201106,20210116,71,C,386.895004
,46696,20073AC,,,20210118,20210131,13,C,394.663481
,46696,20073AC,,,20210201,20210215,14,C,403.397800
,46697,20073AD,,,20201106,20201115,9,C,381.592575
,46697,20073AD,,,20210621,20210713,22,G,355.310843
,46698,20073AE,,,20201106,20201123,17,C,382.484115
,46698,20073AE,,,20201127,20201222,25,C,382.843175
,46699,20073AF,,,20201106,20201123,17,C,382.427330
,46699,20073AF,,,20201127,20201222,25,C,383.474780
,46700,20073AG,,,20201106,20201115,9,C,385.442429
,46701,20073AH,,,20201106,20201223,47,C,384.344569
,46702,20073AJ,,,20201106,20210119,74,C,383.147404
,46702,20073AJ,,,20210122,20210204,13,C,400.313787
,46703,20073AK,,,20201106,20201221,45,C,382.138892
,46704,20073AL,,,20201106,20210119,74,C,383.590005
,46705,20073AM,,,20201106,20201114,8,C,383.001947
,46706,20073AN,,,20201106,20201223,47,C,384.990374
,46707,20073AP,,,20201106,20210116,71,C,383.828375
,46707,20073AP,,,20210118,20210202,15,C,392.116597
,46708,20073AQ,,,20201106,20210116,71,C,384.433885
,46708,20073AQ,,,20210118,20210202,15,C,393.152690
,46709,20073AR,,,20201106,20201114,8,C,384.429647
,46710,20073AS,,,20201106,20201115,9,C,384.756640
,46711,20073AT,,,20201106,20201122,16,C,382.354438
,46711,20073AT,,,20201128,20201223,25,C,383.844456
,46712,20073AU,,,20201106,20201222,46,C,384.634725
,46713,20073AV,,,20201111,20201221,40,C,382.075008
,46714,20073AW,,,20201106,20201124,18,C,382.852770
,46714,20073AW,,,20201127,20210115,49,C,550.060018
,46715,20073AX,,,20201106,20201222,46,C,383.930970
,46716,20073AY,,,20201106,20201115,9,C,387.868841
,46717,20073AZ,,,20201106,20201221,45,C,382.197178
,46718,20073BA,,,20201106,20201115,9,C,384.193471
,46719,20073BB,,,20201106,20210116,71,C,384.972318
,46719,20073BB,,,20210118,20210202,15,C,393.318272
,46720,20073BC,,,20201106,20210129,84,C,400.852757
,46720,20073BC,,,20210130,20210212,13,C,402.168365
,46721,20073BD,,,20201106,20210213,99,C,382.246440
,46721,20073BD,,,20210303,20210923,204,G,260.295389
,46722,20073BE,,,20201106,20201115,9,C,388.616949
,46723,20073BF,,,20201106,20210116,71,C,383.139772
,46723,20073BF,,,20210118,20210201,14,C,391.329125
,46723,20073BF,,,20210228,20210325,25,C,550.017240
,46724,20073BG,,,20201106,20210116,71,C,385.641048
,46724,20073BG,,,20210118,20210202,15,C,394.538556
,46724,20073BG,,,20210802,20210903,32,G,439.495614
,46725,20073BH,,,20201106,20201115,9,C,381.836636
,46726,20073BJ,,,20201106,20201124,18,C,382.623683
,46726,20073BJ,,,20201125,20201222,27,C,385.070942
,46727,20073BK,,,20201106,20210116,71,C,382.366747
,46727,20073BK,,,20210118,20210201,14,C,390.563032
,46727,20073BK,,,20210205,20210301,24,C,402.786287
,46728,20073BL,,,20201106,20210116,71,C,389.254093
,46729,20073BM,,,20201106,20210116,71,C,381.546071
,46729,20073BM,,,20210118,20210201,14,C,389.195862
,46739,20074A,,,20201114,20201226,42,C,383.907416
,46740,20074B,,,20201114,20201213,29,C,384.876817
,46741,20074C,,,20201114,20201227,43,C,385.414971
,46742,20074D,,,20201114,20201226,42,C,386.807858
,46743,20074E,,,20201114,20201227,43,C,384.047727
,46744,20074F,,,20201114,20201124,10,C,380.488991
,46744,20074F,,,20201125,20201226,31,C,382.590428
,46745,20074G,,,20201114,20201124,10,C,382.720343
,46745,20074G,,,20201125,20201226,31,C,385.171920
,46745,20074G,,,20220218,20220716,148,G,442.511650
,46745,20074G,,,20220930,20221018,18,G,342.517405
,46746,20074H,,,20201114,20201226,42,C,383.329245
,46747,20074J,,,20201114,20201226,42,C,382.629176
,46748,20074K,,,20201114,20201126,12,C,384.077148
,46748,20074K,,,20201128,20201226,28,C,382.495825
,46749,20074L,,,20201114,20201226,42,C,383.637505
,46751,20074N,,,20201114,20201226,42,C,383.244633
,46752,20074P,,,20201114,20201226,42,C,384.584352
,46753,20074Q,,,20201114,20201226,42,C,382.475064
,46754,20074R,,,20201114,20201226,42,C,382.106862
,46755,20074S,,,20201114,20201213,29,C,385.772140
,46756,20074T,,,20201114,20201213,29,C,384.176776
,46757,20074U,,,20201114,20201213,29,C,385.759904
,46758,20074V,,,20201114,20201213,29,C,384.110306
,46759,20074W,,,20201114,20201118,4,C,383.418910
,46760,20074X,,,20201114,20201119,5,C,382.605671
,46761,20074Y,,,20201114,20201119,5,C,382.895032
,46761,20074Y,,,20210628,20210715,17,G,357.429615
,46762,20074Z,,,20201114,20201119,5,C,384.237487
,46762,20074Z,,,20210817,20210923,37,G,441.246721
,46763,20074AA,,,20201114,20201119,5,C,381.944641
,46763,20074AA,,,20211209,20211227,18,G,542.664151
,46763,20074AA,,,20211231,20220109,9,G,537.532301
,46763,20074AA,,,20220201,20220820,200,G,440.880290
,46763,20074AA,,,20221011,20230104,85,G,342.256768
,46764,20074AB,,,20201114,20201120,6,C,384.108866
,46765,20074AC,,,20201114,20201118,4,C,381.570406
,46766,20074AD,,,20201114,20201118,4,C,381.974240
,46767,20074AE,,,20201114,20201119,5,C,381.511303
,46768,20074AF,,,20201114,20201119,5,C,380.997976
,46769,20074AG,,,20201114,20201119,5,C,384.987304
,46769,20074AG,,,20211129,20211225,26,G,440.509264
,46770,20074AH,,,20201114,20201119,5,C,385.508851
,46771,20074AJ,,,20201114,20201119,5,C,383.858302
,46771,20074AJ,,,20210703,20210716,13,G,356.342705
,46772,20074AK,,,20201114,20201119,5,C,383.300938
,46773,20074AL,,,20201114,20201118,4,C,381.555983
,46773,20074AL,,,20210607,20210619,12,G,438.239189
,46774,20074AM,,,20201114,20201119,5,C,386.857754
,46775,20074AN,,,20201114,20201119,5,C,389.170701
,46775,20074AN,,,20220113,20220121,8,G,302.792916
,46776,20074AP,,,20201114,20201119,5,C,385.957604
,46776,20074AP,,,20220307,20220815,161,G,441.692366
,46776,20074AP,,,20221110,20230105,56,G,342.404117
,46777,20074AQ,,,20201114,20201119,5,C,386.081249
,46777,20074AQ,,,20210703,20210815,43,G,357.052290
,46777,20074AQ,,,20210911,20210923,12,G,301.884011
,46779,20074AS,,,20201114,20201201,17,C,382.449874
,46779,20074AS,,,20201201,20210119,49,C,381.696357
,46780,20074AT,,,20201114,20210120,67,C,386.623408
,46781,20074AU,,,20201114,20201227,43,C,382.838965
,46782,20074AV,,,20201114,20210120,67,C,384.675334
,46783,20074AW,,,20201114,20210120,67,C,387.308721
,46784,20074AX,,,20201114,20210119,66,C,381.805336
,46785,20074AY,,,20201114,20210123,70,C,405.620066
,46786,20074AZ,,,20201114,20210123,70,C,382.072594
,46786,20074AZ,,,20210203,20210417,73,C,452.488872
,46787,20074BA,,,20201114,20210123,70,C,381.913107
,46787,20074BA,,,20210203,20210417,73,C,477.540546
,46788,20074BB,,,20201114,20210124,71,C,387.137871
,46788,20074BB,,,20210203,20210405,61,C,445.775205
,46788,20074BB,,,20210406,20210418,12,C,452.560259
,46789,20074BC,,,20201114,20201225,41,C,382.397337
,46790,20074BD,,,20201114,20201225,41,C,382.012519
,46791,20074BE,,,20201114,20201225,41,C,382.491380
,46792,20074BF,,,20201114,20210120,67,C,384.056157
,46793,20074BG,,,20201114,20201225,41,C,382.013725
,46794,20074BH,,,20201114,20201227,43,C,383.129391
,46795,20074BJ,,,20201114,20210124,71,C,386.037367
,46795,20074BJ,,,20210203,20210401,57,C,452.761204
,46795,20074BJ,,,20210819,20211001,43,G,442.326479
,46796,20074BK,,,20201114,20210120,67,C,385.971991
,46797,20074BL,,,20201114,20210124,71,C,386.148988
,46797,20074BL,,,20210203,20210401,57,C,452.689944
,46797,20074BL,,,20211010,20211029,19,G,442.325658
,46797,20074BL,,,20220127,20220210,14,G,369.442235
,46797,20074BL,,,20220222,20220308,14,G,355.547247
,46797,20074BL,,,20220326,20220401,6,G,334.699245
,46798,20074BM,,,20201114,20201120,6,C,385.081951
,45667,20035L,,,20200619,20200626,7,C,382.599354
,45668,20035M,,,20200619,20200626,7,C,382.533103
,45669,20035N,,,20200619,20200626,7,C,384.038682
,45671,20035Q,,,20200619,20200626,7,C,383.923639
,45665,20035J,,,20200619,20200626,7,C,382.598844
,45673,20035S,,,20200619,20200626,7,C,382.439213
,45674,20035T,,,20200619,20200626,7,C,382.509728
,45672,20035R,,,20200618,20200626,8,C,342.914138
,45672,20035R,,,20200630,20200904,66,C,399.558822
,45666,20035K,,,20200619,20200626,7,C,382.515789
,45670,20035P,,,20200618,20200626,8,C,351.916380
,45670,20035P,,,20200630,20200904,66,C,383.919713
,45678,20035X,,,20200619,20200721,32,C,387.035126
,45679,20035Y,,,20200619,20200721,32,C,387.407442
,45684,20035AD,,,20200619,20200721,32,C,381.982017
,45682,20035AB,,,20200619,20200721,32,C,389.186339
,45681,20035AA,,,20200619,20200721,32,C,387.907581
,45680,20035Z,,,20200618,20200628,10,C,358.641403
,45680,20035Z,,,20200702,20200717,15,C,385.302703
,45683,20035AC,,,20200619,20200721,32,C,385.802948
,45675,20035U,,,20200619,20200721,32,C,552.601488
,45676,20035V,,,20200619,20200721,32,C,552.569367
,45677,20035W,,,20200619,20200721,32,C,552.208981
,45580,20025BB,,,20200510,20200703,54,C,383.726931
,45587,20025BJ,,,20200510,20200721,72,C,386.092956
,45586,20025BH,,,20200510,20200727,78,C,396.562042
,45586,20025BH,,,20200803,20200810,7,C,442.398428
,45581,20025BC,,,20200510,20200725,76,C,384.192876
,45582,20025BD,,,20200510,20200725,76,C,387.777608
,45583,20025BE,,,20200510,20200725,76,C,384.810050
,45584,20025BF,,,20200510,20200725,76,C,382.293319
,45588,20025BK,,,20200510,20200725,76,C,382.481056
,45589,20025BL,,,20200510,20200725,76,C,388.421605
,45579,20025BA,,,20201106,20201218,42,C,484.669271
,45585,20025BG,,,20200511,20200726,76,C,391.850217
,45585,20025BG,,,20200726,20200818,23,C,534.780448
,45585,20025BG,,,20211126,20211207,11,G,425.028101
,45590,20025BM,,,20200510,20200515,5,C,382.469285
,45658,20035B,,,20200619,20200626,7,C,383.142025
,45659,20035C,,,20200619,20200626,7,C,382.468002
,45660,20035D,,,20200619,20200626,7,C,382.528620
,45661,20035E,,,20200619,20200626,7,C,382.514690
,45662,20035F,,,20200619,20200626,7,C,384.818440
,45663,20035G,,,20200619,20200626,7,C,385.616591
,45664,20035H,,,20200619,20200627,8,C,383.284366
,47122,20088A,,,20201215,20210109,25,C,382.487830
,47123,20088B,,,20201210,20201231,21,C,382.552446
,47123,20088B,,,20210607,20210618,11,G,442.318173
,47124,20088C,,,20201209,20201229,20,C,383.263534
,47125,20088D,,,20201215,20210205,52,C,384.917815
,47125,20088D,,,20210803,20210812,9,G,354.247703
,47125,20088D,,,20210828,20210903,6,G,298.911178
,47126,20088E,,,20201215,20210111,27,C,386.058983
,47127,20088F,,,20201215,20210215,62,C,382.452136
,47127,20088F,,,20210308,20210310,2,C,453.826802
,47127,20088F,,,20210714,20210801,18,G,442.058958
,47127,20088F,,,20210821,20210902,12,G,356.532651
,47129,20088H,,,20201215,20210123,39,C,387.135947
,47129,20088H,,,20210202,20210219,17,C,440.143490
,47130,20088J,,,20201209,20201218,9,C,385.694242
,47131,20088K,,,20201215,20210204,51,C,384.404697
,47131,20088K,,,20220118,20220121,3,G,300.349266
,47132,20088L,,,20201215,20210308,83,C,383.938230
,47132,20088L,,,20210327,20210602,67,C,385.255966
,47133,20088M,,,20201215,20210204,51,C,387.072328
,47134,20088N,,,20201215,20210110,26,C,386.954324
,47135,20088P,,,20201215,20210204,51,C,388.015695
,47136,20088Q,,,20201215,20210110,26,C,386.281735
,47137,20088R,,,20201215,20210203,50,C,382.089759
,47138,20088S,,,20201215,20210123,39,C,381.865556
,47139,20088T,,,20201209,20201229,20,C,382.916985
,47140,20088U,,,20201209,20201229,20,C,382.743193
,47140,20088U,,,20210104,20210120,16,C,426.430201
,47140,20088U,,,20210206,20210211,5,C,507.314083
,47140,20088U,,,20210802,20210815,13,G,442.419071
,47140,20088U,,,20210903,20211017,44,G,357.087684
,47140,20088U,,,20220112,20220121,9,G,296.841730
,47141,20088V,,,20201215,20210204,51,C,387.766365
,47142,20088W,,,20201209,20201218,9,C,383.806584
,47142,20088W,,,20210612,20210625,13,G,441.885980
,47142,20088W,,,20210713,20210716,3,G,356.003126
,47143,20088X,,,20201215,20210204,51,C,388.591498
,47144,20088Y,,,20201215,20210213,60,C,384.104992
,47145,20088Z,,,20201215,20210214,61,C,384.064452
,47145,20088Z,,,20220331,20220425,25,G,400.058667
,47146,20088AA,,,20201209,20201217,8,C,381.411957
,47146,20088AA,,,20220109,20220115,6,G,411.568877
,47146,20088AA,,,20220326,20220330,4,G,298.271870
,47147,20088AB,,,20201215,20210111,27,C,383.548979
,47148,20088AC,,,20201215,20210204,51,C,386.155796
,47149,20088AD,,,20201215,20210111,27,C,384.417316
,47150,20088AE,,,20201215,20210204,51,C,387.039314
,47151,20088AF,,,20201215,20210109,25,C,381.915695
,47152,20088AG,,,20201215,20210110,26,C,385.522290
,47153,20088AH,,,20201209,20201229,20,C,383.064375
,47154,20088AJ,,,20201215,20210204,51,C,387.568689
,47155,20088AK,,,20201209,20201218,9,C,386.293986
,47156,20088AL,,,20201215,20210215,62,C,382.962583
,47156,20088AL,,,20210918,20210930,12,G,442.484175
,47156,20088AL,,,20220118,20220203,16,G,346.225991
,47156,20088AL,,,20220212,20220227,15,G,329.687233
,47157,20088AM,,,20201209,20210112,34,C,382.904936
,47158,20088AN,,,20201215,20210203,50,C,381.906138
,47158,20088AN,,,20210214,20210215,1,C,452.515286
,47159,20088AP,,,20201215,20210110,26,C,384.920783
,47159,20088AP,,,20211130,20211219,19,G,437.929339
,47159,20088AP,,,20220228,20220424,55,G,327.410174
,47160,20088AQ,,,20201215,20210203,50,C,381.828399
,47160,20088AQ,,,20210818,20210923,36,G,440.692117
,47160,20088AQ,,,20211007,20211016,9,G,378.224942
,47160,20088AQ,,,20211112,20211120,8,G,300.760137
,47161,20088AR,,,20201215,20210203,50,C,382.069209
,47162,20088AS,,,20201215,20210111,27,C,385.524692
,47163,20088AT,,,20201215,20210213,60,C,549.995139
,47164,20088AU,,,20201215,20210213,60,C,383.231748
,47165,20088AV,,,20201209,20210112,34,C,384.867110
,47166,20088AW,,,20201209,20210112,34,C,385.571992
,47167,20088AX,,,20201215,20210111,27,C,387.273956
,47168,20088AY,,,20201215,20210110,26,C,381.963495
,47168,20088AY,,,20220124,20220217,24,G,437.702653
,47168,20088AY,,,20220301,20220317,16,G,400.221518
,47168,20088AY,,,20220507,20220510,3,G,308.074172
,47169,20088AZ,,,20201209,20210112,34,C,384.360072
,47169,20088AZ,,,20210115,20210222,38,C,397.601259
,47170,20088BA,,,20201215,20210111,27,C,384.999530
,47171,20088BB,,,20201215,20210204,51,C,386.559432
,47172,20088BC,,,20201209,20201229,20,C,383.306470
,47172,20088BC,,,20210918,20211001,13,G,440.637277
,47173,20088BD,,,20201215,20210111,27,C,387.600027
,47174,20088BE,,,20201209,20210112,34,C,383.446921
,47175,20088BF,,,20201215,20210213,60,C,382.732630
,47176,20088BG,,,20201215,20210303,78,C,377.701111
,47177,20088BH,,,20201215,20210109,25,C,382.495300
,47178,20088BJ,,,20201215,20210109,25,C,382.066399
,47179,20088BK,,,20201209,20201218,9,C,385.064971
,47180,20088BL,,,20201209,20201218,9,C,384.832441
,47180,20088BL,,,20210825,20210902,8,G,441.663794
,47181,20088BM,,,20201215,20210213,60,C,382.470486
,47349,21005A,,,20210208,20210215,7,C,386.559310
,47349,21005A,,,20210909,20210921,12,G,442.525384
,47349,21005A,,,20211004,20211119,46,G,357.512843
,47349,21005A,,,20211123,20220718,237,G,342.040564
,47350,21005B,,,20210208,20210214,6,C,382.609395
,47351,21005C,,,20210208,20210523,104,C,383.816484
,47352,21005D,,,20210208,20210630,142,C,550.048314
,47353,21005E,,,20210208,20210630,142,C,382.328909
,47354,21005F,,,20210208,20210512,93,C,381.812102
,47355,21005G,,,20210208,20210618,130,C,383.199317
,47356,21005H,,,20210208,20210430,81,C,387.260898
,47357,21005J,,,20210208,20210214,6,C,384.333042
,47358,21005K,,,20210208,20210429,80,C,382.561625
,47359,21005L,,,20210208,20210513,94,C,550.046183
,47360,21005M,,,20210208,20210513,94,C,385.033161
,47361,21005N,,,20210207,20210429,81,C,384.007320
,47362,21005P,,,20210207,20210214,7,C,382.720642
,47363,21005Q,,,20210208,20210214,6,C,383.385914
,47364,21005R,,,20210208,20210213,5,C,382.275714
,47365,21005S,,,20210207,20210710,153,C,380.102871
,47365,21005S,,,20210714,20211126,135,G,349.046553
,47365,21005S,,,20211128,20220516,169,G,342.179094
,47366,21005T,,,20210208,20210214,6,C,387.459486
,47367,21005U,,,20210208,20210215,7,C,387.014008
,47368,21005V,,,20210208,20210215,7,C,386.015143
,47369,21005W,,,20210208,20210406,57,C,389.781712
,47370,21005X,,,20210208,20210523,104,C,384.564430
,47371,21005Y,,,20210208,20210214,6,C,381.873965
,47372,21005Z,,,20210208,20210225,17,C,384.958585
,47373,21005AA,,,20210207,20210214,7,C,381.882347
,47374,21005AB,,,20210208,20210214,6,C,383.772829
,47375,21005AC,,,20210208,20210214,6,C,385.682828
,47376,21005AD,,,20210207,20210214,7,C,386.114822
,47377,21005AE,,,20210208,20210214,6,C,384.893819
,47378,21005AF,,,20210208,20210523,104,C,383.939779
,47379,21005AG,,,20210208,20210523,104,C,384.254584
,47380,21005AH,,,20210208,20210430,81,C,381.799684
,47381,21005AJ,,,20210208,20210417,68,C,384.893742
,47382,21005AK,,,20210208,20210429,80,C,384.788365
,47383,21005AL,,,20210209,20210525,105,C,383.308238
,47384,21005AM,,,20210208,20210430,81,C,385.075946
,47385,21005AN,,,20210208,20210429,80,C,381.845480
,47386,21005AP,,,20210208,20210214,6,C,382.684380
,47387,21005AQ,,,20210208,20210213,5,C,382.182769
,47388,21005AR,,,20210208,20210213,5,C,382.429916
,47389,21005AS,,,20210208,20210405,56,C,385.547635
,47390,21005AT,,,20210208,20210214,6,C,385.078485
,47391,21005AU,,,20210207,20210429,81,C,384.223440
,47392,21005AV,,,20210208,20210429,80,C,384.509080
,47393,21005AW,,,20210208,20210629,141,C,387.519336
,47394,21005AX,,,20210208,20210513,94,C,385.093764
,47395,21005AY,,,20210208,20210523,104,C,382.594248
,47395,21005AY,,,20210602,20210604,2,C,451.806534
,47396,21005AZ,,,20210208,20210430,81,C,383.399712
,47397,21005BA,,,20210208,20210215,7,C,384.919501
,47398,21005BB,,,20210208,20210429,80,C,383.218116
,47399,21005BC,,,20210208,20210404,55,C,383.989383
,47400,21005BD,,,20210208,20210523,104,C,382.512827
,47401,21005BE,,,20210208,20210502,83,C,394.028254
,47402,21005BF,,,20210207,20210430,82,C,383.913289
,47403,21005BG,,,20210207,20210430,82,C,384.961280
,47404,21005BH,,,20210207,20210430,82,C,384.340189
,47405,21005BJ,,,20210208,20210214,6,C,387.496396
,47406,21005BK,,,20210207,20210429,81,C,382.213099
,47407,21005BL,,,20210208,20210429,80,C,381.454120
,47408,21005BM,,,20210208,20210501,82,C,388.932860
,47548,21009A,,,20210224,20210429,64,C,385.786019
,47548,21009A,,,20210503,20210514,11,C,400.326188
,47548,21009A,,,20210523,20210526,3,C,452.152678
,47549,21009B,,,20210224,20210508,73,C,384.472949
,47549,21009B,,,20210509,20210515,6,C,390.666150
,47550,21009C,,,20210225,20210604,99,C,383.853305
,47551,21009D,,,20210224,20210419,54,C,384.418736
,47552,21009E,,,20210224,20210514,79,C,384.448943
,47553,21009F,,,20210224,20210424,59,C,382.332147
,47554,21009G,,,20210315,20210406,22,C,442.211605
,47555,21009H,,,20210224,20210419,54,C,381.788694
,47556,21009J,,,20210224,20210226,2,C,384.065911
,47557,21009K,,,20210224,20210301,5,C,385.197950
,47558,21009L,,,20210224,20210511,76,C,387.646166
,47559,21009M,,,20210224,20210608,104,C,385.184243
,47560,21009N,,,20210227,20210608,101,C,385.467407
,47561,21009P,,,20210224,20210404,39,C,383.559735
,47562,21009Q,,,20210224,20210419,54,C,382.337288
,47563,21009R,,,20210224,20210419,54,C,386.263577
,47564,21009S,,,20210224,20210513,78,C,382.489484
,47565,21009T,,,20210224,20210513,78,C,381.749729
,47566,21009U,,,20210224,20210608,104,C,386.427713
,47567,21009V,,,20210224,20210226,2,C,386.399974
,47569,21009X,,,20210224,20210226,2,C,381.561759
,47569,21009X,,,20210306,20210502,57,C,421.886106
,47569,21009X,,,20211119,20220304,105,G,442.074636
,47570,21009Y,,,20210224,20210608,104,C,386.165727
,47571,21009Z,,,20210224,20210428,63,C,383.265907
,47572,21009AA,,,20210224,20210514,79,C,381.887436
,47573,21009AB,,,20210224,20210513,78,C,384.181048
,47576,21009AE,,,20210224,20210608,104,C,387.152670
,47577,21009AF,,,20210224,20210430,65,C,384.651177
,47577,21009AF,,,20210510,20210514,4,C,454.541715
,47578,21009AG,,,20210224,20210418,53,C,383.914091
,47579,21009AH,,,20210224,20210513,78,C,383.551915
,47580,21009AJ,,,20210224,20210418,53,C,384.625468
,47581,21009AK,,,20210224,20210604,100,C,385.408996
,47582,21009AL,,,20210224,20210419,54,C,384.972477
,47583,21009AM,,,20210224,20210419,54,C,381.646871
,47584,21009AN,,,20210224,20211231,310,C,382.450546
,47584,21009AN,,,20220117,20220121,4,G,302.463094
,47585,21009AP,,,20210224,20210403,38,C,383.044093
,47586,21009AQ,,,20210224,20210227,3,C,384.880819
,47587,21009AR,,,20210224,20210428,63,C,381.830481
,47587,21009AR,,,20210503,20210518,15,C,401.464674
,47588,21009AS,,,20210224,20210419,54,C,382.081753
,47589,21009AT,,,20210224,20210419,54,C,383.707096
,47590,21009AU,,,20210224,20210301,5,C,385.766232
,47591,21009AV,,,20210224,20210419,54,C,383.231091
,47592,21009AW,,,20210224,20210226,2,C,384.781721
,47593,21009AX,,,20210224,20210226,2,C,381.549362
,47594,21009AY,,,20210224,20210226,2,C,384.824894
,47595,21009AZ,,,20210224,20210226,2,C,382.660493
,47596,21009BA,,,20210224,20210226,2,C,382.556335
,47597,21009BB,,,20210224,20210226,2,C,382.039113
,47600,21009BE,,,20210224,20210524,89,C,383.690079
,47601,21009BF,,,20210224,20210607,103,C,383.378096
,47602,21009BG,,,20210224,20210511,76,C,382.501623
